filename,word_id,group,arabic,transliteration,english,urdu,type
idh-when-transparent.png,cmtrh9nn5001f9k5ka652o7mu,Core 500 · Set 11,إِذ,idh,when (in the past),جب,PARTICLE
shaa-will-transparent.png,cmtrh9nn5001g9k5kuno99w4e,Core 500 · Set 11,شاءَ,shāʾa,"to will, to wish",چاہنا,VERB_PAST
ayy-which-transparent.png,cmtrh9nn5001h9k5kcgdfbn23,Core 500 · Set 11,أَيّ,ayy,"which, whichever",کون سا,NOUN
law-if-transparent.png,cmtrh9nn5001j9k5ko7d0of8w,Core 500 · Set 12,لَو,law,if (were it so),اگر,PARTICLE
ind-with-transparent.png,cmtrh9nn5001l9k5koluytqka,Core 500 · Set 12,عِند,ʿind,"with, near, in the sight of",پاس، نزدیک,PARTICLE
kadhdhaba-deny-transparent.png,cmtrh9nn5001p9k5ki69lb1vn,Core 500 · Set 13,كَذَّبَ,kadhdhaba,"to deny, to call a lie",جھٹلانا,VERB_PAST
ittaqa-be-mindful-of-transparent.png,cmtrh9nn5001s9k5kl76s7ut0,Core 500 · Set 13,اتَّقَى,ittaqā,"to be mindful of God, to fear Him",تقویٰ اختیار کرنا، ڈرنا,VERB_PAST
lamma-when-transparent.png,cmtrh9nn5001u9k5k05cvnyrl,Core 500 · Set 14,لَمّا,lammā,when; not yet,جب؛ ابھی نہیں,PARTICLE
maa-with-transparent.png,cmtrh9nn5001v9k5ksgi5qfqu,Core 500 · Set 14,مَعَ,maʿa,"with, together with",ساتھ,PARTICLE
bad-some-transparent.png,cmtrh9nn5001x9k5kx4iatwb9,Core 500 · Set 14,بَعْض,baʿḍ,"some, part of, one another",بعض، کچھ,NOUN
dhu-possessor-of-transparent.png,cmtrh9nn5001z9k5kfz4kdy6b,Core 500 · Set 15,ذُو,dhū,"possessor of, owner of",والا، مالک,NOUN
ghayr-other-than-transparent.png,cmtrh9nn500219k5kw2wukash,Core 500 · Set 15,غَيْر,ghayr,"other than, without",کے سوا، بغیر,NOUN
dun-besides-transparent.png,cmtrh9nn500269k5kcurhb1v0,Core 500 · Set 16,دُون,dūn,"besides, other than, short of",سوا، کے علاوہ,NOUN
hatta-until-transparent.png,cmtrh9nn500279k5k1c9scnze,Core 500 · Set 16,حَتَّى,ḥattā,"until, so that",یہاں تک کہ,PARTICLE
arada-want-transparent.png,cmtrh9nn500289k5kbii5rimb,Core 500 · Set 17,أَرادَ,arāda,"to want, to intend",ارادہ کرنا، چاہنا,VERB_PAST
am-or-transparent.png,cmtrh9nn500299k5kbuc6d7zy,Core 500 · Set 17,أَم,am,or (in questions),یا,PARTICLE
ittabaa-follow-transparent.png,cmtrh9nn5002b9k5k0a6tk03l,Core 500 · Set 17,اتَّبَعَ,ittabaʿa,to follow,پیروی کرنا,VERB_PAST
laalla-so-that-transparent.png,cmtrh9nn5002f9k5k6s1eglmn,Core 500 · Set 18,لَعَلَّ,laʿalla,"so that, perhaps",تاکہ، شاید,PARTICLE
bal-rather-transparent.png,cmtrh9nn5002i9k5kwos7s0fp,Core 500 · Set 19,بَل,bal,"rather, on the contrary",بلکہ,PARTICLE
ahl-people-of-transparent.png,cmtrh9nn5002j9k5kjgp72vj2,Core 500 · Set 19,أَهْل,ahl,"people of, family, folk",اہل، والے,NOUN
ittakhadha-take-for-oneself-transparent.png,cmtrh9nn5002k9k5k4y2swrm0,Core 500 · Set 19,اتَّخَذَ,ittakhadha,"to take for oneself, to adopt",بنا لینا,VERB_PAST
mubin-clear-transparent.png,cmtrh9nn5002n9k5k9ciutrid,Core 500 · Set 20,مُبِين,mubīn,"clear, manifest",واضح، کھلا,NOUN
zalama-wrong-transparent.png,cmtrh9nn5002r9k5k6msl394x,Core 500 · Set 20,ظَلَمَ,ẓalama,"to wrong, to oppress",ظلم کرنا,VERB_PAST
azim-great-transparent.png,cmtrh9p44002s9k5kzmri7nwy,Core 500 · Set 21,عَظِيم,ʿaẓīm,"great, mighty",عظیم، بڑا,ADJECTIVE
lan-will-never-transparent.png,cmtrh9p44002x9k5kgk31up9i,Core 500 · Set 22,لَن,lan,will never,ہرگز نہیں,PARTICLE
fa-then-transparent.png,cmtrh9p44002y9k5ktx2d8pus,Core 500 · Set 22,فَ,fa,"then, so",پس، تو,PARTICLE
aziz-almighty-transparent.png,cmtrh9p44002z9k5k3sc557kp,Core 500 · Set 22,عَزِيز,ʿazīz,"almighty, mighty, precious",غالب، زبردست,NOUN
akhraja-bring-out-transparent.png,cmtrh9p4500309k5k6jrkgxeo,Core 500 · Set 22,أَخْرَجَ,akhraja,"to bring out, to expel",نکالنا,VERB_PAST
hal-is-do-transparent.png,cmtrh9p4500339k5kwqodi3q6,Core 500 · Set 23,هَل,hal,is? do? (question word),کیا؟,PARTICLE
qawl-word-transparent.png,cmtrh9p4500359k5kz3jjl8er,Core 500 · Set 23,قَوْل,qawl,"word, saying, speech",قول، بات,NOUN
laysa-not-be-transparent.png,cmtrh9p4500379k5k8by2k9f1,Core 500 · Set 24,لَيْسَ,laysa,to not be,نہیں ہے,VERB_PAST
shaytan-satan-transparent.png,cmtrh9p4500389k5kfcvou2lc,Core 500 · Set 24,شَيْطان,shayṭān,"Satan, devil",شیطان,PROPER_NOUN
mathal-example-transparent.png,cmtrh9p4500399k5kqxvtda3d,Core 500 · Set 24,مَثَل,mathal,"example, parable, likeness",مثال,NOUN
dhakara-remember-transparent.png,cmtrh9p45003g9k5kmq1aaifo,Core 500 · Set 25,ذَكَرَ,dhakara,"to remember, to mention",یاد کرنا، ذکر کرنا,VERB_PAST
kayf-how-transparent.png,cmtrh9p45003k9k5kzgg3fzog,Core 500 · Set 26,كَيْف,kayf,how,کیسے,NOUN
qatala-kill-transparent.png,cmtrh9p45003l9k5kuer0fpuc,Core 500 · Set 26,قَتَلَ,qatala,to kill,قتل کرنا,VERB_PAST
bunayy-my-dear-son-transparent.png,cmtrh9p45003o9k5kgk8kx9ix,Core 500 · Set 27,بُنَيّ,bunayy,my dear son (affectionate),میرے بیٹے,NOUN
akthar-most-transparent.png,cmtrh9p45003p9k5kvff3c8z5,Core 500 · Set 27,أَكْثَر,akthar,"most, the majority",اکثر، زیادہ تر,NOUN
ashab-companions-transparent.png,cmtrh9p46003r9k5k36tk44j1,Core 500 · Set 28,أَصْحاب,aṣḥāb,"companions, people of",ساتھی، والے,NOUN
tawalla-turn-away-transparent.png,cmtrh9p46003s9k5k9d2mke05,Core 500 · Set 28,تَوَلَّى,tawallā,to turn away; to take charge of,منہ پھیرنا,VERB_PAST
jahannam-hell-transparent.png,cmtrh9p46003v9k5kb42xniuc,Core 500 · Set 28,جَهَنَّم,jahannam,Hell,جہنم,PROPER_NOUN
mithl-like-transparent.png,cmtrh9p4600409k5k9xfyl4cg,Core 500 · Set 29,مِثْل,mithl,"like, similar to",جیسا، مانند,NOUN
lawla-if-not-transparent.png,cmtrh9p4600429k5krv95k6wj,Core 500 · Set 30,لَوْلا,lawlā,"if not, were it not for",اگر نہ ہوتا,PARTICLE
khalid-abiding-forever-transparent.png,cmtrh9p4600449k5ktj91jot5,Core 500 · Set 30,خالِد,khālid,"abiding forever, eternal",ہمیشہ رہنے والا,NOUN
firawn-pharaoh-transparent.png,cmtrh9p4600459k5k1ab4wa6o,Core 500 · Set 30,فِرْعَوْن,Firʿawn,Pharaoh,فرعون,PROPER_NOUN
ahad-one-transparent.png,cmtrh9p4600479k5kq3kte0ji,Core 500 · Set 31,أَحَد,aḥad,"one, anyone",ایک، کوئی,NOUN
alam-world-transparent.png,cmtrh9p4600489k5kvi14uqw8,Core 500 · Set 31,عالَم,ʿālam,"world, realm",جہان، عالم,NOUN
alim-painful-transparent.png,cmtrh9p46004a9k5ktfrqt1kk,Core 500 · Set 31,أَلِيم,alīm,painful,دردناک,ADJECTIVE
ataa-obey-transparent.png,cmtrh9p46004c9k5kn6komd44,Core 500 · Set 32,أَطاعَ,aṭāʿa,to obey,اطاعت کرنا,VERB_PAST
awha-reveal-transparent.png,cmtrh9p46004d9k5kxcnprjpd,Core 500 · Set 32,أَوْحَى,awḥā,"to reveal, to inspire",وحی کرنا,VERB_PAST
bayyinah-clear-proof-transparent.png,cmtrh9p46004f9k5kbna17cpl,Core 500 · Set 32,بَيِّنَة,bayyinah,"clear proof, evidence",کھلی دلیل,NOUN
ashraka-associate-partners-with-transparent.png,cmtrh9p46004g9k5k91e0qg8t,Core 500 · Set 33,أَشْرَكَ,ashraka,to associate partners with God,شرک کرنا,VERB_PAST
alqa-throw-transparent.png,cmtrh9p46004i9k5kk7vavydq,Core 500 · Set 33,أَلْقَى,alqā,"to throw, to cast",ڈالنا، پھینکنا,VERB_PAST
qiyamah-resurrection-transparent.png,cmtrh9p46004k9k5k5rdgpclu,Core 500 · Set 33,قِيامَة,qiyāmah,resurrection,قیامت,NOUN
akhar-another-transparent.png,cmtrh9p46004l9k5ktg1atqy8,Core 500 · Set 34,آخَر,ākhar,"another, other",دوسرا,NOUN
waada-promise-transparent.png,cmtrh9p46004n9k5khcwvo5bc,Core 500 · Set 34,وَعَدَ,waʿada,to promise,وعدہ کرنا,VERB_PAST
lakin-but-transparent.png,cmtrh9p46004q9k5k3vm2x1h2,Core 500 · Set 35,لٰكِن,lākin,"but, however",لیکن,PARTICLE
lakinna-but-transparent.png,cmtrh9p46004s9k5k0kv4kwge,Core 500 · Set 35,لٰكِنَّ,lākinna,but (emphatic),لیکن,PARTICLE
adalla-lead-astray-transparent.png,cmtrh9p46004v9k5kr3q47fvr,Core 500 · Set 36,أَضَلَّ,aḍalla,to lead astray,گمراہ کرنا,VERB_PAST
ummah-community-transparent.png,cmtrh9p46004w9k5k638nzodv,Core 500 · Set 36,أُمَّة,ummah,"community, nation",امت,NOUN
aba-fathers-transparent.png,cmtrh9p46004x9k5k6vxvi6wg,Core 500 · Set 36,آباء,ābāʾ,"fathers, forefathers",آباء، باپ دادا,NOUN
asaba-befall-transparent.png,cmtrh9p46004y9k5kip86ugky,Core 500 · Set 36,أَصابَ,aṣāba,"to befall, to strike",پہنچنا، آ پڑنا,VERB_PAST
nazzala-send-down-transparent.png,cmtrh9p4600549k5kz9kdd46z,Core 500 · Set 37,نَزَّلَ,nazzala,to send down (gradually),نازل کرنا,VERB_PAST
salihah-righteous-transparent.png,cmtrh9p4600559k5kjsalawai,Core 500 · Set 38,صالِحَة,ṣāliḥah,righteous (feminine); good deed,نیک عمل,NOUN
kasaba-earn-transparent.png,cmtrh9p4600569k5knclyu9t5,Core 500 · Set 38,كَسَبَ,kasaba,"to earn, to acquire",کمانا,VERB_PAST
tala-recite-transparent.png,cmtrh9p4600589k5kq2a76qpk,Core 500 · Set 38,تَلا,talā,to recite; to follow,تلاوت کرنا,VERB_PAST
nisa-women-transparent.png,cmtrh9p46005b9k5kq9nltx30,Core 500 · Set 39,نِساء,nisāʾ,women,عورتیں,NOUN
qada-decree-transparent.png,cmtrh9p46005c9k5k9scrokd0,Core 500 · Set 39,قَضَى,qaḍā,"to decree, to decide, to complete",فیصلہ کرنا,VERB_PAST
sabara-be-patient-transparent.png,cmtrh9p46005d9k5kws1ybzpa,Core 500 · Set 39,صَبَرَ,ṣabara,"to be patient, to endure",صبر کرنا,VERB_PAST
sayyiah-evil-deed-transparent.png,cmtrh9p46005e9k5kbdwvfbco,Core 500 · Set 39,سَيِّئَة,sayyiʾah,"evil deed, bad thing",برائی,NOUN
nadhir-warner-transparent.png,cmtrh9p47005f9k5k3h2iaeqp,Core 500 · Set 40,نَذِير,nadhīr,warner,ڈرانے والا,NOUN
jara-flow-transparent.png,cmtrh9p47005h9k5kisrjweuz,Core 500 · Set 40,جَرَى,jarā,"to flow, to run",بہنا,VERB_PAST
qaryah-town-transparent.png,cmtrh9p47005i9k5k5rnzci6r,Core 500 · Set 40,قَرْيَة,qaryah,"town, village",بستی,NOUN
shahid-witness-martyr-transparent.png,cmtrh9qrt005l9k5k6m5tbdry,Core 500 · Set 41,شَهِيد,shahīd,witness,گواہ,NOUN
massa-touch-transparent.png,cmtrh9qrt005m9k5kvod2kp0o,Core 500 · Set 41,مَسَّ,massa,"to touch, to afflict",چھونا، پہنچنا,VERB_PAST
shadid-severe-transparent.png,cmtrh9qrt005o9k5k2t90boux,Core 500 · Set 41,شَدِيد,shadīd,"severe, intense",سخت,ADJECTIVE
nahar-river-transparent.png,cmtrh9qrt005t9k5kft03b7kb,Core 500 · Set 42,نَهَر,nahar,river,نہر، دریا,NOUN
qatala-fight-transparent.png,cmtrh9qrt005u9k5kfvcxptab,Core 500 · Set 43,قاتَلَ,qātala,to fight,لڑنا، جنگ کرنا,VERB_PAST
jami-all-transparent.png,cmtrh9qrt005v9k5kxp5ghyiv,Core 500 · Set 43,جَمِيع,jamīʿ,"all, altogether",سب، تمام,NOUN
dalla-go-astray-transparent.png,cmtrh9qrt005x9k5k5ee99mex,Core 500 · Set 43,ضَلَّ,ḍalla,"to go astray, to stray",گمراہ ہونا، بھٹکنا,VERB_PAST
khalq-creation-transparent.png,cmtrh9qrt005z9k5khzj3sh9p,Core 500 · Set 44,خَلْق,khalq,creation,خلق، پیدائش,NOUN
mujrim-criminal-transparent.png,cmtrh9qrt00619k5k65q1ph2x,Core 500 · Set 44,مُجْرِم,mujrim,"criminal, sinner",مجرم,NOUN
taht-under-transparent.png,cmtrh9qrt00629k5k74h8bkpa,Core 500 · Set 44,تَحْت,taḥt,"under, beneath",نیچے,NOUN
ahya-give-life-transparent.png,cmtrh9qrt00639k5k55zbqmoh,Core 500 · Set 44,أَحْيا,aḥyā,"to give life, to revive",زندہ کرنا,VERB_PAST
ahlaka-destroy-transparent.png,cmtrh9qrt00659k5ki0fzo1o7,Core 500 · Set 45,أَهْلَكَ,ahlaka,to destroy,ہلاک کرنا,VERB_PAST
tadhakkara-take-heed-transparent.png,cmtrh9qrt00669k5ks9t5tdme,Core 500 · Set 45,تَذَكَّرَ,tadhakkara,"to take heed, to recollect",نصیحت پکڑنا,VERB_PAST
nimah-blessing-transparent.png,cmtrh9qrt00699k5k8fge0sma,Core 500 · Set 46,نِعْمَة,niʿmah,"blessing, favour",نعمت,NOUN
su-evil-transparent.png,cmtrh9qrt006a9k5k4bedjot0,Core 500 · Set 46,سُوء,sūʾ,"evil, harm",برائی,NOUN
iftara-fabricate-transparent.png,cmtrh9qrt006b9k5kpwd2hwzo,Core 500 · Set 46,افْتَرَى,iftarā,"to fabricate, to invent (a lie)",جھوٹ گھڑنا,VERB_PAST
muttaqi-godconscious-one-transparent.png,cmtrh9qrt006c9k5kpse33h45,Core 500 · Set 46,مُتَّقِي,muttaqī,"God-conscious one, the righteous",پرہیزگار، متقی,NOUN
zada-increase-transparent.png,cmtrh9qrt006e9k5kk02axwgn,Core 500 · Set 47,زادَ,zāda,"to increase, to add",بڑھنا، بڑھانا,VERB_PAST
aqala-reason-transparent.png,cmtrh9qrt006f9k5kjpn7cyvi,Core 500 · Set 47,عَقَلَ,ʿaqala,"to reason, to understand",عقل سے کام لینا، سمجھنا,VERB_PAST
alam-most-knowing-transparent.png,cmtrh9qrt006h9k5kh0mt1zl7,Core 500 · Set 47,أَعْلَم,aʿlam,most knowing,خوب جاننے والا,NOUN
wad-promise-transparent.png,cmtrh9qrt006i9k5ksigmeg3g,Core 500 · Set 47,وَعْد,waʿd,promise,وعدہ,NOUN
basar-sight-transparent.png,cmtrh9qrt006j9k5k8gb5kvqn,Core 500 · Set 48,بَصَر,baṣar,"sight, vision",نگاہ، بینائی,NOUN
dar-home-transparent.png,cmtrh9qrt006k9k5klhquy4as,Core 500 · Set 48,دار,dār,"home, abode",گھر، ٹھکانہ,NOUN
mulk-dominion-transparent.png,cmtrh9qrt006l9k5kqshfhjng,Core 500 · Set 48,مُلْك,mulk,"dominion, sovereignty",بادشاہت، ملک,NOUN
saah-hour-transparent.png,cmtrh9qrt006m9k5kogr5v7by,Core 500 · Set 48,ساعَة,sāʿah,hour; the Hour,گھڑی؛ قیامت,NOUN
zanna-think-transparent.png,cmtrh9qrt006n9k5kfwf4d9iv,Core 500 · Set 48,ظَنَّ,ẓanna,"to think, to assume",گمان کرنا، سمجھنا,VERB_PAST
shakara-be-grateful-transparent.png,cmtrh9qrt006p9k5kos57juyw,Core 500 · Set 49,شَكَرَ,shakara,"to be grateful, to thank",شکر کرنا,VERB_PAST
nabbaa-inform-transparent.png,cmtrh9qrt006q9k5khqgvk2vu,Core 500 · Set 49,نَبَّأَ,nabbaʾa,"to inform, to tell",خبر دینا، بتانا,VERB_PAST
hakama-judge-transparent.png,cmtrh9qrt006v9k5kw5yc0lv6,Core 500 · Set 50,حَكَمَ,ḥakama,"to judge, to rule",فیصلہ کرنا,VERB_PAST
yadhar-leave-transparent.png,cmtrh9qrt006w9k5kzyf2nlso,Core 500 · Set 50,يَذَر,yadhar,"to leave, to forsake",چھوڑنا,VERB_PAST
khabir-allaware-transparent.png,cmtrh9qrt006x9k5kp78icw67,Core 500 · Set 50,خَبِير,khabīr,all-aware,باخبر,ADJECTIVE
andhara-warn-transparent.png,cmtrh9qrt006y9k5kbzt2fc10,Core 500 · Set 51,أَنذَرَ,andhara,to warn,ڈرانا، خبردار کرنا,VERB_PAST
shahida-bear-witness-transparent.png,cmtrh9qrt006z9k5kfsvaggf9,Core 500 · Set 51,شَهِدَ,shahida,"to bear witness, to testify",گواہی دینا,VERB_PAST
mushrik-one-who-associates-transparent.png,cmtrh9qrt00709k5kjgow2lev,Core 500 · Set 51,مُشْرِك,mushrik,one who associates partners with God,مشرک,NOUN
hasiba-think-transparent.png,cmtrh9qrt00719k5k8cdlqcq5,Core 500 · Set 51,حَسِبَ,ḥasiba,"to think, to reckon",سمجھنا، گمان کرنا,VERB_PAST
nada-call-out-transparent.png,cmtrh9qrt00739k5kaaz0aarz,Core 500 · Set 52,نادَى,nādā,to call out,پکارنا,VERB_PAST
malaka-own-transparent.png,cmtrh9qrt00749k5kf626cc0e,Core 500 · Set 52,مَلَكَ,malaka,"to own, to possess",مالک ہونا,VERB_PAST
israil-israel-transparent.png,cmtrh9qrt00779k5kijjfekyk,Core 500 · Set 52,إِسْرائِيل,Isrāʾīl,Israel,اسرائیل,PROPER_NOUN
sabbaha-glorify-transparent.png,cmtrh9qrt00799k5kr6xb3d4p,Core 500 · Set 53,سَبَّحَ,sabbaḥa,"to glorify, to declare God free of fault",تسبیح کرنا,VERB_PAST
kalimah-word-transparent.png,cmtrh9qrt007a9k5kb2namcvj,Core 500 · Set 53,كَلِمَة,kalimah,word,کلمہ، بات,NOUN
istataa-be-able-to-transparent.png,cmtrh9qrt007c9k5ktao98ru1,Core 500 · Set 53,اسْتَطاعَ,istaṭāʿa,to be able to,قدرت رکھنا، کر سکنا,VERB_PAST
adkhala-admit-transparent.png,cmtrh9qrt007d9k5kxoii8xvj,Core 500 · Set 54,أَدْخَلَ,adkhala,"to admit, to cause to enter",داخل کرنا,VERB_PAST
sawfa-will-transparent.png,cmtrh9qrt007e9k5k5u40ts7o,Core 500 · Set 54,سَوْف,sawfa,"will, shall (future)",عنقریب,PARTICLE
salam-peace-transparent.png,cmtrh9qrt007f9k5k1t4ppkiy,Core 500 · Set 54,سَلام,salām,peace,سلامتی,NOUN
fawq-above-transparent.png,cmtrh9qrt007g9k5k7e2rxxrz,Core 500 · Set 54,فَوْق,fawq,"above, over",اوپر,NOUN
allama-teach-transparent.png,cmtrh9qrt007h9k5kgs5wm3p4,Core 500 · Set 54,عَلَّمَ,ʿallama,to teach,سکھانا,VERB_PAST
adhdhaba-punish-transparent.png,cmtrh9qrt007l9k5k75qajhoh,Core 500 · Set 55,عَذَّبَ,ʿadhdhaba,"to punish, to torment",عذاب دینا,VERB_PAST
taraka-leave-transparent.png,cmtrh9qrt007m9k5kbd7jr5mt,Core 500 · Set 55,تَرَكَ,taraka,"to leave, to abandon",چھوڑنا,VERB_PAST
istakbara-be-arrogant-transparent.png,cmtrh9qrt007n9k5kjfuy5cbd,Core 500 · Set 56,اسْتَكْبَرَ,istakbara,to be arrogant,تکبر کرنا,VERB_PAST
ihtada-be-guided-transparent.png,cmtrh9qrt007o9k5k03renf3f,Core 500 · Set 56,اهْتَدَى,ihtadā,"to be guided, to find the way",ہدایت پانا,VERB_PAST
ara-show-transparent.png,cmtrh9qrt007p9k5klmqgaeyx,Core 500 · Set 56,أَرَى,arā,to show,دکھانا,VERB_PAST
wayl-woe-transparent.png,cmtrh9qrt007q9k5kfgsufbfk,Core 500 · Set 56,وَيْل,wayl,woe,ہلاکت، خرابی,NOUN
bisa-how-wretched-is-transparent.png,cmtrh9qrt007r9k5kb4hi7g62,Core 500 · Set 56,بِئْسَ,biʾsa,"how wretched is, evil is",برا ہے,VERB_PAST
khashiya-fear-transparent.png,cmtrh9qrt007s9k5kueburibu,Core 500 · Set 57,خَشِيَ,khashiya,"to fear, to be in awe of",ڈرنا,VERB_PAST
balagha-reach-transparent.png,cmtrh9qrt007t9k5kcjfrruwp,Core 500 · Set 57,بَلَغَ,balagha,"to reach, to attain",پہنچنا,VERB_PAST
istaghfara-seek-forgiveness-transparent.png,cmtrh9qrt007u9k5ki7hccbue,Core 500 · Set 57,اسْتَغْفَرَ,istaghfara,to seek forgiveness,مغفرت مانگنا,VERB_PAST
kabir-great-transparent.png,cmtrh9qrt007v9k5kt9xhz95v,Core 500 · Set 57,كَبِير,kabīr,"great, big",بڑا,ADJECTIVE
tawakkala-put-ones-trust-transparent.png,cmtrh9qrt007w9k5kug2tdrc4,Core 500 · Set 57,تَوَكَّلَ,tawakkala,to put one's trust (in God),بھروسہ کرنا، توکل کرنا,VERB_PAST
sharik-partner-transparent.png,cmtrh9qrt007x9k5ki65xsa56,Core 500 · Set 58,شَرِيك,sharīk,"partner, associate",شریک، ساجھی,NOUN
ism-name-transparent.png,cmtrh9qrt007y9k5krt07g0z7,Core 500 · Set 58,اسْم,ism,name,نام,NOUN
idhn-permission-transparent.png,cmtrh9qrt00809k5ke54d9ae4,Core 500 · Set 58,إِذْن,idhn,"permission, leave",اجازت,NOUN
harrama-forbid-transparent.png,cmtrh9qrt00839k5kbf0fn6lt,Core 500 · Set 59,حَرَّمَ,ḥarrama,"to forbid, to make unlawful",حرام کرنا,VERB_PAST
bashshara-give-glad-tidings-transparent.png,cmtrh9qru00869k5klwtvgql2,Core 500 · Set 59,بَشَّرَ,bashshara,to give glad tidings,خوشخبری دینا,VERB_PAST
mayyit-dead-transparent.png,cmtrh9qru00879k5kelzvwrmb,Core 500 · Set 60,مَيِّت,mayyit,dead,مردہ,NOUN
muhsin-doer-of-good-transparent.png,cmtrh9qru00889k5k6giolmds,Core 500 · Set 60,مُحْسِن,muḥsin,doer of good,نیکی کرنے والا,NOUN
radiya-be-pleased-transparent.png,cmtrh9qru00899k5kltrgwtu5,Core 500 · Set 60,رَضِيَ,raḍiya,"to be pleased, to be content",راضی ہونا,VERB_PAST
maruf-what-is-right-transparent.png,cmtrh9qru008a9k5kdy04irct,Core 500 · Set 60,مَعْرُوف,maʿrūf,"what is right, honourable, kind",نیکی، بھلی بات,NOUN
dalal-error-transparent.png,cmtrh9qru008b9k5ku304zwj0,Core 500 · Set 60,ضَلال,ḍalāl,"error, misguidance",گمراہی,NOUN
fasiq-defiantly-disobedient-transparent.png,cmtrh9r45008d9k5kx0o68kgt,Core 500 · Set 61,فاسِق,fāsiq,"defiantly disobedient, transgressor",نافرمان، فاسق,NOUN
hazina-grieve-transparent.png,cmtrh9r45008e9k5ki7k66yk7,Core 500 · Set 61,حَزِنَ,ḥazina,"to grieve, to be sad",غمگین ہونا,VERB_PAST
najja-save-transparent.png,cmtrh9r45008f9k5k6xq1yot2,Core 500 · Set 61,نَجَّى,najjā,"to save, to deliver",نجات دینا، بچانا,VERB_PAST
asa-staff-transparent.png,cmtrh9r45008g9k5kx3ddehs5,Core 500 · Set 61,عَصا,ʿaṣā,"staff, stick",لاٹھی، عصا,VERB_PAST
hashara-gather-transparent.png,cmtrh9r45008i9k5k3u1oi9sn,Core 500 · Set 62,حَشَرَ,ḥashara,"to gather, to assemble",جمع کرنا,VERB_PAST
dhanb-sin-transparent.png,cmtrh9r45008j9k5k2fwankba,Core 500 · Set 62,ذَنْب,dhanb,"sin, fault",گناہ,NOUN
naam-cattle-transparent.png,cmtrh9r45008k9k5ktbar4ivj,Core 500 · Set 62,نَعَم,naʿam,"cattle, livestock",مویشی، چوپائے,NOUN
bashar-human-being-transparent.png,cmtrh9r45008l9k5kq9pcadyt,Core 500 · Set 62,بَشَر,bashar,"human being, mortal",بشر، انسان,NOUN
sadda-turn-away-transparent.png,cmtrh9r45008m9k5kh5l871b7,Core 500 · Set 63,صَدَّ,ṣadda,"to turn away, to hinder",روکنا,VERB_PAST
