id,sortOrder,arabic,arabicPlain,transliteration,translationEn,translationUr,wordType,gender,pluralForm,rootLetters,topicCategories,chapterIntroduced,frequencyInQuran,imageKey,suggestedFilename
cmq6hkx69002r145ko5j9l5jc,11,يَد,يد,yad,hand,ہاتھ,NOUN,FEMININE,أَيْدِي,ي د و,body,2,120,images/words/cmq6hkx69002r145ko5j9l5jc.jpg,011-yad.jpg
cmq6hkx69002s145k8wq9rd25,12,عَيْن,عين,'ayn,eye,آنکھ,NOUN,FEMININE,أَعْيُن,ع ي ن,body,2,56,images/words/cmq6hkx69002s145k8wq9rd25.jpg,012-ayn.jpg
cmq6hkx69002t145k2wm8rbx9,13,رَأْس,راس,ra's,head,سر,NOUN,MASCULINE,رُءُوس,ر أ س,body,2,18,images/words/cmq6hkx69002t145k2wm8rbx9.jpg,013-ra-s.jpg
cmq6hkx69002u145kibjbympc,14,قَلْب,قلب,qalb,heart,دل,NOUN,MASCULINE,قُلُوب,ق ل ب,body,2,168,images/words/cmq6hkx69002u145kibjbympc.jpg,014-qalb.jpg
cmq6hkx69002v145k8nc16pu9,15,وَجْه,وجه,wajh,face,چہرہ,NOUN,MASCULINE,وُجُوه,و ج ه,body,2,72,images/words/cmq6hkx69002v145k8nc16pu9.jpg,015-wajh.jpg
cmq6hkx69002w145k8hmiltkz,16,بَيْت,بيت,bayt,"house, home",گھر,NOUN,MASCULINE,بُيُوت,ب ي ت,home,1,71,images/words/cmq6hkx69002w145k8hmiltkz.jpg,016-bayt.jpg
cmq6hkx69002x145ke9u8l9u2,17,بَاب,باب,bāb,"door, gate",دروازہ,NOUN,MASCULINE,أَبْوَاب,ب و ب,home,2,61,images/words/cmq6hkx69002x145ke9u8l9u2.jpg,017-b-b.jpg
cmq6hkx69002y145kyezfmyiz,18,كُرْسِيّ,كرسي,kursī,"chair, throne",کرسی,NOUN,MASCULINE,كَرَاسِيّ,ك ر س,home,2,1,images/words/cmq6hkx69002y145kyezfmyiz.jpg,018-kurs.jpg
cmq6hkx69002z145kcrkk57ww,19,غُرْفَة,غرفة,ghurfa,"room, chamber",کمرہ,NOUN,FEMININE,غُرَف,غ ر ف,home,2,5,images/words/cmq6hkx69002z145kcrkk57ww.jpg,019-ghurfa.jpg
cmq6hkx690030145kdo99yazo,20,مَكْتَب,مكتب,maktab,"desk, office",میز، دفتر,NOUN,MASCULINE,مَكَاتِب,ك ت ب,home|school,2,0,images/words/cmq6hkx690030145kdo99yazo.jpg,020-maktab.jpg
cmq6hkx690031145kknzr2kp6,21,مَاء,ماء,mā',water,پانی,NOUN,MASCULINE,مِيَاه,م و ه,food|nature,1,63,images/words/cmq6hkx690031145kknzr2kp6.jpg,021-m.jpg
cmq6hkx690032145kkcuegxp2,22,خُبْز,خبز,khubz,bread,روٹی,NOUN,MASCULINE,,خ ب ز,food,3,2,images/words/cmq6hkx690032145kkcuegxp2.jpg,022-khubz.jpg
cmq6hkx690033145ksmkuwfdd,23,تَمْر,تمر,tamr,dates (fruit),کھجور,NOUN,MASCULINE,,ت م ر,food,3,0,images/words/cmq6hkx690033145ksmkuwfdd.jpg,023-tamr.jpg
cmq6hkx690034145kqjng0zaw,24,لَبَن,لبن,laban,milk,دودھ,NOUN,MASCULINE,,ل ب ن,food,3,5,images/words/cmq6hkx690034145kqjng0zaw.jpg,024-laban.jpg
cmq6hkx690035145kcdss7nbt,25,طَعَام,طعام,ṭa'ām,"food, meal",کھانا,NOUN,MASCULINE,,ط ع م,food,3,16,images/words/cmq6hkx690035145kcdss7nbt.jpg,025-a-m.jpg
cmq6hkx690036145kar6wgkbh,26,يَوْم,يوم,yawm,day,دن,NOUN,MASCULINE,أَيَّام,ي و م,time,1,475,images/words/cmq6hkx690036145kar6wgkbh.jpg,026-yawm.jpg
cmq6hkx690037145knnf32qib,27,لَيْل,ليل,layl,night,رات,NOUN,MASCULINE,لَيَالٍ,ل ي ل,time,2,92,images/words/cmq6hkx690037145knnf32qib.jpg,027-layl.jpg
cmq6hkx690038145kejbk6jds,28,سَنَة,سنة,sana,year,سال,NOUN,FEMININE,سِنِين,س ن و,time,3,19,images/words/cmq6hkx690038145kejbk6jds.jpg,028-sana.jpg
cmq6hkx690039145kf7bhyhcd,29,سَاعَة,ساعة,sā'a,"hour, moment",گھنٹہ، لمحہ,NOUN,FEMININE,سَاعَات,س و ع,time,3,48,images/words/cmq6hkx690039145kf7bhyhcd.jpg,029-s-a.jpg
cmq6hkx69003a145k4zmfc7r2,30,وَقْت,وقت,waqt,"time, appointed time",وقت,NOUN,MASCULINE,أَوْقَات,و ق ت,time,2,13,images/words/cmq6hkx69003a145k4zmfc7r2.jpg,030-waqt.jpg
cmq6hkx69003b145kpy6sxr3k,31,سَمَاء,سماء,samā',"sky, heaven",آسمان,NOUN,FEMININE,سَمَاوَات,س م و,nature,1,392,images/words/cmq6hkx69003b145kpy6sxr3k.jpg,031-sam.jpg
cmq6hkx69003c145kkn60vech,32,أَرْض,ارض,arḍ,"earth, land",زمین,NOUN,FEMININE,أَرَاضٍ,أ ر ض,nature,1,461,images/words/cmq6hkx69003c145kkn60vech.jpg,032-ar.jpg
cmq6hkx69003d145kbd73qusk,33,شَمْس,شمس,shams,sun,سورج,NOUN,FEMININE,,ش م س,nature,2,33,images/words/cmq6hkx69003d145kbd73qusk.jpg,033-shams.jpg
cmq6hkx69003e145kplrd19hl,34,قَمَر,قمر,qamar,moon,چاند,NOUN,MASCULINE,أَقْمَار,ق م ر,nature,2,27,images/words/cmq6hkx69003e145kplrd19hl.jpg,034-qamar.jpg
cmq6hkx69003f145k5ynf0gx4,35,شَجَرَة,شجرة,shajara,tree,درخت,NOUN,FEMININE,أَشْجَار,ش ج ر,nature,3,26,images/words/cmq6hkx69003f145k5ynf0gx4.jpg,035-shajara.jpg
cmq6hkx69003g145kvunnwsux,36,صَلَاة,صلاة,ṣalāh,prayer,نماز,NOUN,FEMININE,صَلَوَات,ص ل و,worship,1,99,images/words/cmq6hkx69003g145kvunnwsux.jpg,036-al-h.jpg
cmq6hkx69003h145k5lku6vm3,37,صَوْم,صوم,ṣawm,fasting,روزہ,NOUN,MASCULINE,,ص و م,worship,4,8,images/words/cmq6hkx69003h145k5lku6vm3.jpg,037-awm.jpg
cmq6hkx69003i145k30l1myv1,38,زَكَاة,زكاة,zakāh,obligatory charity,زکوٰۃ,NOUN,FEMININE,,ز ك و,worship,4,32,images/words/cmq6hkx69003i145k30l1myv1.jpg,038-zak-h.jpg
cmq6hkx69003j145krb01isa3,39,حَجّ,حج,ḥajj,pilgrimage,حج,NOUN,MASCULINE,,ح ج ج,worship,5,10,images/words/cmq6hkx69003j145krb01isa3.jpg,039-ajj.jpg
cmq6hkx69003k145kzbmfyaxo,40,دُعَاء,دعاء,du'ā',supplication,دعا,NOUN,MASCULINE,أَدْعِيَة,د ع و,worship,3,20,images/words/cmq6hkx69003k145kzbmfyaxo.jpg,040-du.jpg
cmq6hkx69003l145ksfxvwyjo,41,رَبّ,رب,rabb,"Lord, Sustainer",رب، پالنے والا,NOUN,MASCULINE,أَرْبَاب,ر ب ب,quranic|worship,1,980,images/words/cmq6hkx69003l145ksfxvwyjo.jpg,041-rabb.jpg
cmq6hkx69003m145kpnelal5c,42,رَحْمَن,رحمن,raḥmān,Most Gracious,رحمٰن (بے حد رحم کرنے والا),ADJECTIVE,,,ر ح م,quranic|worship,1,57,images/words/cmq6hkx69003m145kpnelal5c.jpg,042-ra-m-n.jpg
cmq6hkx69003n145k04exedj1,43,رَحِيم,رحيم,raḥīm,Most Merciful,رحیم (بار بار رحم کرنے والا),ADJECTIVE,,,ر ح م,quranic|worship,1,115,images/words/cmq6hkx69003n145k04exedj1.jpg,043-ra-m.jpg
cmq6hkx69003o145knw1o7j9x,44,نُور,نور,nūr,light,نور، روشنی,NOUN,MASCULINE,أَنْوَار,ن و ر,quranic,2,43,images/words/cmq6hkx69003o145knw1o7j9x.jpg,044-n-r.jpg
cmq6hkx69003p145k7tg0bw8c,45,حَقّ,حق,ḥaqq,"truth, right",حق، سچ,NOUN,MASCULINE,حُقُوق,ح ق ق,quranic,2,287,images/words/cmq6hkx69003p145k7tg0bw8c.jpg,045-aqq.jpg
cmq6hkx69003q145kx7a0l799,46,قَرَأَ,قرا,qara'a,"he read, he recited",اس نے پڑھا,VERB_PAST,,,ق ر أ,verbs|school,1,88,images/words/cmq6hkx69003q145kx7a0l799.jpg,046-qara-a.jpg
cmq6hkx69003r145kea0i6oc6,47,كَتَبَ,كتب,kataba,he wrote,اس نے لکھا,VERB_PAST,,,ك ت ب,verbs,1,29,images/words/cmq6hkx69003r145kea0i6oc6.jpg,047-kataba.jpg
cmq6hkx69003s145kvdjrw9q8,48,ذَهَبَ,ذهب,dhahaba,he went,وہ چلا گیا,VERB_PAST,,,ذ ه ب,verbs,2,26,images/words/cmq6hkx69003s145kvdjrw9q8.jpg,048-dhahaba.jpg
cmq6hkx69003t145k35houznw,49,جَاءَ,جاء,jā'a,he came,وہ آیا,VERB_PAST,,,ج ي أ,verbs,2,228,images/words/cmq6hkx69003t145k35houznw.jpg,049-j-a.jpg
cmq6hkx69003u145knynz0fc4,50,عَلِمَ,علم,'alima,he knew,اس نے جانا,VERB_PAST,,,ع ل م,verbs,2,382,images/words/cmq6hkx69003u145knynz0fc4.jpg,050-alima.jpg
cmq6hkx69003v145kg8sb3t0h,51,سَفَر,سفر,safar,"journey, travel",سفر,NOUN,MASCULINE,أَسْفَار,س ف ر,travel,4,12,images/words/cmq6hkx69003v145kg8sb3t0h.jpg,051-safar.jpg
cmq6hkx69003w145klg153sjs,52,طَرِيق,طريق,ṭarīq,"road, path, way",راستہ,NOUN,MASCULINE,طُرُق,ط ر ق,travel,3,28,images/words/cmq6hkx69003w145klg153sjs.jpg,052-ar-q.jpg
cmq6hkx69003x145kf4iqyz7s,53,مَدِينَة,مدينة,madīna,city,شہر,NOUN,FEMININE,مُدُن,د ي ن,travel,3,14,images/words/cmq6hkx69003x145kf4iqyz7s.jpg,053-mad-na.jpg
cmq6hkx69003y145k4mmtp7bu,54,بَلَد,بلد,balad,"country, land",ملک، علاقہ,NOUN,MASCULINE,بِلَاد,ب ل د,travel,3,19,images/words/cmq6hkx69003y145k4mmtp7bu.jpg,054-balad.jpg
cmq6hkx69003z145kwxystivz,55,سَفِينَة,سفينة,safīna,"ship, boat",کشتی، جہاز,NOUN,FEMININE,سُفُن,س ف ن,travel,5,4,images/words/cmq6hkx69003z145kwxystivz.jpg,055-saf-na.jpg
cmq6hkx690040145kzwqx38yv,56,مَسْجِد,مسجد,masjid,mosque,مسجد,NOUN,MASCULINE,مَسَاجِد,س ج د,masjid|worship,2,28,images/words/cmq6hkx690040145kzwqx38yv.jpg,056-masjid.jpg
cmq6hkx690041145kxzdgb1kz,57,إِمَام,امام,imām,"imam, leader",امام,NOUN,MASCULINE,أَئِمَّة,أ م م,masjid,4,12,images/words/cmq6hkx690041145kxzdgb1kz.jpg,057-im-m.jpg
cmq6hkx690042145kgik2yojk,58,صَفّ,صف,ṣaff,"row, rank (in prayer)",صف,NOUN,MASCULINE,صُفُوف,ص ف ف,masjid,4,10,images/words/cmq6hkx690042145kgik2yojk.jpg,058-aff.jpg
cmq6hkx690043145kh89q5ghp,59,قِبْلَة,قبلة,qibla,prayer direction (toward Makkah),قبلہ,NOUN,FEMININE,,ق ب ل,masjid|worship,4,4,images/words/cmq6hkx690043145kh89q5ghp.jpg,059-qibla.jpg
cmq6hkx690044145krt1ulxz8,60,أَذَان,اذان,adhān,call to prayer,اذان,NOUN,MASCULINE,,أ ذ ن,masjid|worship,3,2,images/words/cmq6hkx690044145krt1ulxz8.jpg,060-adh-n.jpg
cmq6hkx690045145ky21s40e5,61,سُوق,سوق,sūq,"market, bazaar",بازار,NOUN,MASCULINE,أَسْوَاق,س و ق,marketplace,5,2,images/words/cmq6hkx690045145ky21s40e5.jpg,061-s-q.jpg
cmq6hkx690046145k5sxhze71,62,بَيْع,بيع,bay',"sale, selling",بیچنا، سودا,NOUN,MASCULINE,,ب ي ع,marketplace,5,9,images/words/cmq6hkx690046145k5sxhze71.jpg,062-bay.jpg
cmq6hkx690047145k4n6r8efd,63,شِرَاء,شراء,shirā',"purchase, buying",خریدنا,NOUN,MASCULINE,,ش ر ي,marketplace,5,6,images/words/cmq6hkx690047145k4n6r8efd.jpg,063-shir.jpg
cmq6hkx690048145k14etinbk,64,ثَمَن,ثمن,thaman,"price, value",قیمت,NOUN,MASCULINE,أَثْمَان,ث م ن,marketplace,5,10,images/words/cmq6hkx690048145k14etinbk.jpg,064-thaman.jpg
cmq6hkx690049145ki5hlljft,65,مَال,مال,māl,"wealth, property",مال، دولت,NOUN,MASCULINE,أَمْوَال,م و ل,marketplace,4,86,images/words/cmq6hkx690049145ki5hlljft.jpg,065-m-l.jpg
cmq6hkx69004a145kg4vnwbpp,66,مُعَلِّم,معلم,mu'allim,teacher,استاد,NOUN,MASCULINE,مُعَلِّمُون,ع ل م,school,3,0,images/words/cmq6hkx69004a145kg4vnwbpp.jpg,066-mu-allim.jpg
cmq6hkx69004b145kvoyxyb42,67,طَالِب,طالب,ṭālib,"student, seeker",طالب علم,NOUN,MASCULINE,طُلَّاب,ط ل ب,school,3,28,images/words/cmq6hkx69004b145kvoyxyb42.jpg,067-lib.jpg
cmq6hkx69004c145ka2d03huy,68,قَلَم,قلم,qalam,pen,قلم,NOUN,MASCULINE,أَقْلَام,ق ل م,school,1,4,images/words/cmq6hkx69004c145ka2d03huy.jpg,068-qalam.jpg
cmq6hkx69004d145k4wrt4ict,69,كِتَاب,كتاب,kitāb,book,کتاب,NOUN,MASCULINE,كُتُب,ك ت ب,school|quranic,1,230,images/words/cmq6hkx69004d145k4wrt4ict.jpg,069-kit-b.jpg
cmq6hkx69004e145kuqq3bqb2,70,دَرْس,درس,dars,"lesson, study",سبق,NOUN,MASCULINE,دُرُوس,د ر س,school,2,3,images/words/cmq6hkx69004e145kuqq3bqb2.jpg,070-dars.jpg
cmq6hkx69004f145kjqmcklf4,71,وَاحِد,واحد,wāḥid,one,ایک,NUMBER,MASCULINE,,و ح د,numbers,1,22,images/words/cmq6hkx69004f145kjqmcklf4.jpg,071-w-id.jpg
cmq6hkx69004g145k3lq186pa,72,اثْنَان,اثنان,ithnān,two,دو,NUMBER,MASCULINE,,ث ن ي,numbers,2,16,images/words/cmq6hkx69004g145k3lq186pa.jpg,072-ithn-n.jpg
cmq6hkx69004h145ko6asmt5f,73,ثَلَاثَة,ثلاثة,thalātha,three,تین,NUMBER,FEMININE,,ث ل ث,numbers,2,22,images/words/cmq6hkx69004h145ko6asmt5f.jpg,073-thal-tha.jpg
cmq6hkx69004i145kh9mfl65p,74,أَرْبَعَة,اربعة,arba'a,four,چار,NUMBER,FEMININE,,ر ب ع,numbers,2,12,images/words/cmq6hkx69004i145kh9mfl65p.jpg,074-arba-a.jpg
cmq6hkx69004j145kjimo77pv,75,خَمْسَة,خمسة,khamsa,five,پانچ,NUMBER,FEMININE,,خ م س,numbers,2,4,images/words/cmq6hkx69004j145kjimo77pv.jpg,075-khamsa.jpg
cmq6hkx69004k145kasl9omr4,76,أَبْيَض,ابيض,abyaḍ,white,سفید,ADJECTIVE,MASCULINE,بِيض,ب ي ض,colors,4,11,images/words/cmq6hkx69004k145kasl9omr4.jpg,076-abya.jpg
cmq6hkx69004l145kujgrof28,77,أَسْوَد,اسود,aswad,black,کالا,ADJECTIVE,MASCULINE,سُود,س و د,colors,4,7,images/words/cmq6hkx69004l145kujgrof28.jpg,077-aswad.jpg
cmq6hkx69004m145ko61xhfav,78,أَحْمَر,احمر,aḥmar,red,لال,ADJECTIVE,MASCULINE,حُمْر,ح م ر,colors,4,2,images/words/cmq6hkx69004m145ko61xhfav.jpg,078-a-mar.jpg
cmq6hkx69004n145kyiwdlmhk,79,أَخْضَر,اخضر,akhḍar,green,سبز,ADJECTIVE,MASCULINE,خُضْر,خ ض ر,colors,4,8,images/words/cmq6hkx69004n145kyiwdlmhk.jpg,079-akh-ar.jpg
cmq6hkx69004o145k4epowitk,80,أَصْفَر,اصفر,aṣfar,yellow,پیلا,ADJECTIVE,MASCULINE,صُفْر,ص ف ر,colors,4,4,images/words/cmq6hkx69004o145k4epowitk.jpg,080-a-far.jpg
cmq6hkx69004p145kkgqg4uhl,81,إِنْسَان,انسان,insān,human being,انسان,NOUN,MASCULINE,أُنَاس,أ ن س,people,1,65,images/words/cmq6hkx69004p145kkgqg4uhl.jpg,081-ins-n.jpg
cmq6hkx69004q145k7ho5zb6e,82,شَيْخ,شيخ,shaykh,"elder, scholar, sheikh",بزرگ، شیخ,NOUN,MASCULINE,شُيُوخ,ش ي خ,people,3,4,images/words/cmq6hkx69004q145k7ho5zb6e.jpg,082-shaykh.jpg
cmq6hkx69004r145kci97d5t7,83,شَابّ,شاب,shābb,"young man, youth",نوجوان,NOUN,MASCULINE,شَبَاب,ش ب ب,people,3,0,images/words/cmq6hkx69004r145kci97d5t7.jpg,083-sh-bb.jpg
cmq6hkx69004s145kx4bjbz3r,84,صَاحِب,صاحب,ṣāḥib,"companion, friend, owner",ساتھی، دوست، مالک,NOUN,MASCULINE,أَصْحَاب,ص ح ب,people,2,97,images/words/cmq6hkx69004s145kx4bjbz3r.jpg,084-ib.jpg
cmq6hkx69004t145k7wsyoic6,85,عَبْد,عبد,'abd,"servant, slave, worshipper",بندہ، غلام,NOUN,MASCULINE,عِبَاد,ع ب د,people|worship,1,282,images/words/cmq6hkx69004t145k7wsyoic6.jpg,085-abd.jpg
cmq6hkx69004u145kwp2aw8zt,86,قَوْم,قوم,qawm,"people, nation, tribe",قوم، لوگ,NOUN,MASCULINE,أَقْوَام,ق و م,people,3,383,images/words/cmq6hkx69004u145kwp2aw8zt.jpg,086-qawm.jpg
cmq6hkx69004v145ktvfidqji,87,أُمَّة,امة,umma,"nation, community, people",امت، قوم,NOUN,FEMININE,أُمَم,أ م م,people,4,64,images/words/cmq6hkx69004v145ktvfidqji.jpg,087-umma.jpg
cmq6hkx69004w145kvtx7svz2,88,مُؤْمِن,مومن,mu'min,believer,مومن، ایمان والا,NOUN,MASCULINE,مُؤْمِنُون,أ م ن,people|worship,2,226,images/words/cmq6hkx69004w145kvtx7svz2.jpg,088-mu-min.jpg
cmq6hkx69004x145klm7nyuh4,89,مُسْلِم,مسلم,muslim,"Muslim, one who submits",مسلمان,NOUN,MASCULINE,مُسْلِمُون,س ل م,people|worship,2,40,images/words/cmq6hkx69004x145klm7nyuh4.jpg,089-muslim.jpg
cmq6hkx69004y145kebk48lxr,90,كَافِر,كافر,kāfir,"disbeliever, one who rejects",کافر,NOUN,MASCULINE,كَافِرُون,ك ف ر,people,5,154,images/words/cmq6hkx69004y145kebk48lxr.jpg,090-k-fir.jpg
cmq6hkx69004z145kanepnpdz,91,نَبِيّ,نبي,nabī,prophet,نبی,NOUN,MASCULINE,أَنْبِيَاء,ن ب أ,people|quranic,3,75,images/words/cmq6hkx69004z145kanepnpdz.jpg,091-nab.jpg
cmq6hkx690050145kq7ulgulf,92,رَسُول,رسول,rasūl,"messenger, apostle",رسول، پیغمبر,NOUN,MASCULINE,رُسُل,ر س ل,people|quranic,3,513,images/words/cmq6hkx690050145kq7ulgulf.jpg,092-ras-l.jpg
cmq6hkx690051145kuuumcyp0,93,مَلَك,ملك,malak,angel,فرشتہ,NOUN,MASCULINE,مَلَائِكَة,م ل ك,people|quranic,4,88,images/words/cmq6hkx690051145kuuumcyp0.jpg,093-malak.jpg
cmq6hkx690052145ka34q50vx,94,ظَالِم,ظالم,ẓālim,"wrongdoer, oppressor",ظالم,NOUN,MASCULINE,ظَالِمُون,ظ ل م,people,5,94,images/words/cmq6hkx690052145ka34q50vx.jpg,094-lim.jpg
cmq6hkx690053145ktgj9gufu,95,عَالِم,عالم,'ālim,"scholar, one who knows",عالم، جاننے والا,NOUN,MASCULINE,عُلَمَاء,ع ل م,people|school,3,140,images/words/cmq6hkx690053145ktgj9gufu.jpg,095-lim.jpg
cmq6hkx690054145khsj551ko,96,فَقِير,فقير,faqīr,"poor, needy person",غریب، فقیر,NOUN,MASCULINE,فُقَرَاء,ف ق ر,people,4,16,images/words/cmq6hkx690054145khsj551ko.jpg,096-faq-r.jpg
cmq6hkx690055145ktxtgghvt,97,غَنِيّ,غني,ghanī,"rich, self-sufficient",امیر، بے نیاز,ADJECTIVE,MASCULINE,أَغْنِيَاء,غ ن ي,people,4,18,images/words/cmq6hkx690055145ktxtgghvt.jpg,097-ghan.jpg
cmq6hkx690056145kci30j8p7,98,جَار,جار,jār,neighbor,پڑوسی,NOUN,MASCULINE,جِيرَان,ج و ر,people,4,4,images/words/cmq6hkx690056145kci30j8p7.jpg,098-j-r.jpg
cmq6hkx690057145klsefzgmf,99,ضَيْف,ضيف,ḍayf,guest,مہمان,NOUN,MASCULINE,ضُيُوف,ض ي ف,people,4,4,images/words/cmq6hkx690057145klsefzgmf.jpg,099-ayf.jpg
cmq6hkx690058145kxdmy7sd4,100,شَهِيد,شهيد,shahīd,"martyr, witness",شہید، گواہ,NOUN,MASCULINE,شُهَدَاء,ش ه د,people|worship,5,56,images/words/cmq6hkx690058145kxdmy7sd4.jpg,100-shah-d.jpg
cmq6hkx690059145kkzsapcpp,101,يَتِيم,يتيم,yatīm,orphan,یتیم,NOUN,MASCULINE,يَتَامَى,ي ت م,people,5,23,images/words/cmq6hkx690059145kkzsapcpp.jpg,101-yat-m.jpg
cmq6hkx69005a145ki8abz3nn,102,مِسْكِين,مسكين,miskīn,"poor, destitute",مسکین، غریب,NOUN,MASCULINE,مَسَاكِين,س ك ن,people,5,23,images/words/cmq6hkx69005a145ki8abz3nn.jpg,102-misk-n.jpg
cmq6hkx69005b145kt7wa38y2,103,عَدُوّ,عدو,'aduww,enemy,دشمن,NOUN,MASCULINE,أَعْدَاء,ع د و,people,5,102,images/words/cmq6hkx69005b145kt7wa38y2.jpg,103-aduww.jpg
cmq6hkx69005c145kse4rxv9r,104,صَدِيق,صديق,ṣadīq,"friend, truthful one",دوست، صدیق,NOUN,MASCULINE,أَصْدِقَاء,ص د ق,people,4,6,images/words/cmq6hkx69005c145kse4rxv9r.jpg,104-ad-q.jpg
cmq6hkx69005d145ku43aeagb,105,مَلِك,ملك,malik,"king, ruler",بادشاہ,NOUN,MASCULINE,مُلُوك,م ل ك,people|quranic,3,56,images/words/cmq6hkx69005d145ku43aeagb.jpg,105-malik.jpg
cmq6hkx69005e145kwwyy9fe5,106,أَمِير,امير,amīr,"prince, commander, leader",امیر، سردار,NOUN,MASCULINE,أُمَرَاء,أ م ر,people,5,0,images/words/cmq6hkx69005e145kwwyy9fe5.jpg,106-am-r.jpg
cmq6hkx69005f145kqjerrph8,107,خَادِم,خادم,khādim,"servant, attendant",خادم، ملازم,NOUN,MASCULINE,خَدَم,خ د م,people,4,0,images/words/cmq6hkx69005f145kqjerrph8.jpg,107-kh-dim.jpg
cmq6hkx6a005g145kscq2t3cc,108,مُسَافِر,مسافر,musāfir,traveler,مسافر,NOUN,MASCULINE,مُسَافِرُون,س ف ر,people|travel,4,0,images/words/cmq6hkx6a005g145kscq2t3cc.jpg,108-mus-fir.jpg
cmq6hkx6a005h145ktz5zeguz,109,طَبِيب,طبيب,ṭabīb,"doctor, physician",طبیب، ڈاکٹر,NOUN,MASCULINE,أَطِبَّاء,ط ب ب,people,6,0,images/words/cmq6hkx6a005h145ktz5zeguz.jpg,109-ab-b.jpg
cmq6hkx6a005i145kd0rv0j2r,110,تَاجِر,تاجر,tājir,"merchant, trader",تاجر,NOUN,MASCULINE,تُجَّار,ت ج ر,people|marketplace,5,0,images/words/cmq6hkx6a005i145kd0rv0j2r.jpg,110-t-jir.jpg
cmq6hkx6a005j145k3si51nvp,111,شَاهِد,شاهد,shāhid,witness,گواہ,NOUN,MASCULINE,شُهُود,ش ه د,people,5,22,images/words/cmq6hkx6a005j145k3si51nvp.jpg,111-sh-hid.jpg
cmq6hkx6a005k145kb35rxwkm,112,قَاضِي,قاضي,qāḍī,judge,قاضی,NOUN,MASCULINE,قُضَاة,ق ض و,people,6,0,images/words/cmq6hkx6a005k145kb35rxwkm.jpg,112-q.jpg
cmq6hkx6a005l145k8skcrueu,113,وَلِيّ,ولي,walī,"guardian, protector, saint",ولی، سرپرست,NOUN,MASCULINE,أَوْلِيَاء,و ل ي,people|quranic,4,231,images/words/cmq6hkx6a005l145k8skcrueu.jpg,113-wal.jpg
cmq6hkx6a005m145k254vqkkd,114,حَاجّ,حاج,ḥājj,pilgrim,حاجی,NOUN,MASCULINE,حُجَّاج,ح ج ج,people|worship|travel,5,0,images/words/cmq6hkx6a005m145k254vqkkd.jpg,114-jj.jpg
cmq6hkx6a005n145k36bz0uj9,115,فَلَّاح,فلاح,fallāḥ,farmer,کسان، زمیندار,NOUN,MASCULINE,فَلَّاحُون,ف ل ح,people,6,0,images/words/cmq6hkx6a005n145k36bz0uj9.jpg,115-fall.jpg
cmq6hkx6a005o145k1f1o6z8o,116,زَوْج,زوج,zawj,"husband, spouse, pair",شوہر، جوڑا,NOUN,MASCULINE,أَزْوَاج,ز و ج,family,3,81,images/words/cmq6hkx6a005o145k1f1o6z8o.jpg,116-zawj.jpg
