scope,isInVocabularyWord,vocabId,vocabSortOrder,arPlain,arabic,transliteration,translationEn,translationUr,discoverType,discoverMentionCount,firstFixture,discoverImageUrl,vocabImageUrl,recommendedImageTarget
discover_card_only,no,,,أستاذ,أُسْتَاذ,ustādh,teacher,استاد,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/discover/استاذ.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69002n145kfinwht4j,7,أم,أُمّ,'umm,mother,ماں,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx69002n145kfinwht4j.jpg
discover_card_only,no,,,ذلك,ذٰلِكَ,dhālika,"that (m, far)",وہ (مذکر، دور),WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,https://cdn.warsh.app/images/discover/dhalika-pointing-far.png,,images/discover/ذلك.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690050145kq7ulgulf,92,رسول,رَسُول,rasūl,messenger,رسول,WORD,4,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx690050145kq7ulgulf.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004b145kvoyxyb42,67,طالب,طَالِب,ṭālib,student,طالب علم,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx69004b145kvoyxyb42.jpg
discover_card_only,no,,,ما,مَا,mā,what,کیا,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/discover/ما.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004x145klm7nyuh4,89,مسلم,مُسْلِم,muslim,Muslim,مسلمان,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx69004x145klm7nyuh4.jpg
discover_card_only,no,,,من,مَنْ,man,who,کون,WORD,4,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/discover/من.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004z145kanepnpdz,91,نبي,نَبِيّ,nabiyy,prophet,نبی,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-02.json,,,images/words/cmq6hkx69004z145kanepnpdz.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00cc145kna7pgka2,356,آية,آيَة,āya,ayah / verse / sign,آیت,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx6b00cc145kna7pgka2.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69004v145ktvfidqji,87,أمة,أُمَّة,'umma,community / nation,امت,WORD,4,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx69004v145ktvfidqji.jpg
discover_card_only,no,,,تلك,تِلْكَ,tilka,"that (f, far)",وہ (مؤنث، دور),WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/discover/تلك.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00a1145kg00n7ef5,273,جنة,جَنَّة,janna,garden / paradise,باغ / جنت,WORD,3,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,https://cdn.warsh.app/images/discover/janna.png,,images/words/cmq6hkx6b00a1145kg00n7ef5.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00am145kpoz83vmk,294,رحمة,رَحْمَة,raḥma,mercy,رحمت,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx6b00am145kpoz83vmk.jpg
discover_card_only,no,,,سورة,سُورَة,sūra,surah / chapter (of Quran),سورت,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/discover/سورة.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69003f145k5ynf0gx4,35,شجرة,شَجَرَة,shajara,tree,درخت,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,https://cdn.warsh.app/images/discover/shajara.png,,images/words/cmq6hkx69003f145k5ynf0gx4.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690043145kh89q5ghp,59,قبلة,قِبْلَة,qibla,direction of prayer,قبلہ,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx690043145kh89q5ghp.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6d00h2145khboxedw3,526,مدرسة,مَدْرَسَة,madrasa,school,مدرسہ / اسکول,WORD,2,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx6d00h2145khboxedw3.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00an145kimt30sg3,295,نعمة,نِعْمَة,ni'ma,blessing / favour,نعمت,WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/words/cmq6hkx6b00an145kimt30sg3.jpg
discover_card_only,no,,,هذه,هَذِهِ,hādhihi,"this (f, near)",یہ (مؤنث، قریب),WORD,1,warsh-backend/prisma/fixtures/chapter-01-lesson-03.json,,,images/discover/هذه.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690045145ky21s40e5,61,سوق,سُوقٌ,sūqun,a market / a bazaar,ایک بازار,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-01.json,,,images/words/cmq6hkx690045145ky21s40e5.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69003w145klg153sjs,52,طريق,طَرِيقٌ,ṭarīqun,a path / a road / a way,ایک راستہ,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-01.json,,,images/words/cmq6hkx69003w145klg153sjs.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx69002y145kyezfmyiz,18,كرسي,كُرْسِيٌّ,kursiyyun,a chair / a throne,ایک کرسی,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-01.json,,,images/words/cmq6hkx69002y145kyezfmyiz.jpg
discover_card_only,no,,,جديد,جَدِيدٌ,jadīdun,new,نیا,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/جديد.jpg
discover_card_only,no,,,جميل,جَمِيلٌ,jamīlun,beautiful / fine,خوبصورت / اچھا,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/جميل.jpg
discover_card_only,no,,,صغير,صَغِيرٌ,ṣaghīrun,small / young,چھوٹا / جوان,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/صغير.jpg
discover_card_only,no,,,طويل,طَوِيلٌ,ṭawīlun,tall / long,لمبا / طویل,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/طويل.jpg
discover_card_only,no,,,عزيز,عَزِيزٌ,ʿazīzun,mighty / dear / rare,عزیز / طاقتور / نایاب,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/عزيز.jpg
discover_card_only,no,,,قديم,قَدِيمٌ,qadīmun,old / ancient,پرانا / قدیم,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/قديم.jpg
discover_card_only,no,,,قصير,قَصِيرٌ,qaṣīrun,short / brief,چھوٹا / مختصر,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/قصير.jpg
discover_card_only,no,,,كبير,كَبِيرٌ,kabīrun,big / great,بڑا / عظیم,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/كبير.jpg
discover_card_only,no,,,كريم,كَرِيمٌ,karīmun,generous / noble,سخی / کریم,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/كريم.jpg
discover_card_only,no,,,مبارك,مُبَارَكٌ,mubārakun,blessed,مبارک,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-02.json,,,images/discover/مبارك.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx690041145kxzdgb1kz,57,أمام,أَمَامَ,amāma,in front of / before,کے آگے / سامنے,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/words/cmq6hkx690041145kxzdgb1kz.jpg
discover_card_only,no,,,أين,أَيْنَ,ayna,where?,کہاں؟,WORD,3,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/اين.jpg
discover_card_only,no,,,إلى,إِلَى,ilā,to / towards,کی طرف / تک,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/الي.jpg
discover_card_only,no,,,المكتب,الْمَكْتَبُ,al-maktabu,the desk / the office,وہ میز / وہ دفتر,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/المكتب.jpg
discover_card_only,no,,,تحت,تَحْتَ,taḥta,under / below / beneath,نیچے / تلے,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/تحت.jpg
discover_card_only,no,,,خلف,خَلْفَ,khalfa,behind / after,کے پیچھے / بعد,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/خلف.jpg
discover_card_only,no,,,على,عَلَى,ʿalā,on / upon / over,پر / اوپر,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/علي.jpg
discover_card_only,no,,,فوق,فَوْقَ,fawqa,above / over,اوپر,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/فوق.jpg
discover_card_only,no,,,في,فِي,fī,in / at / inside,میں / اندر,WORD,2,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/في.jpg
discover_card_only,no,,,مع,مَعَ,maʿa,with / together with,کے ساتھ,WORD,1,warsh-backend/prisma/fixtures/chapter-02-lesson-03.json,,,images/discover/مع.jpg
discover_card_only,no,,,أم الولد,أُمُّ الْوَلَدِ,'ummu-l-waladi,the mother of the child,بچے کی ماں,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/ام-الولد.jpg
discover_card_only,no,,,باب المسجد,بَابُ الْمَسْجِدِ,bābu-l-masjidi,the door of the mosque,مسجد کا دروازہ,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/باب-المسجد.jpg
discover_card_only,no,,,بيت الرجل,بَيْتُ الرَّجُلِ,baytu-r-rajuli,the man's house,آدمی کا گھر,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/بيت-الرجل.jpg
discover_card_only,no,,,بيت الله,بَيْتُ اللَّهِ,baytu-l-lāhi,the House of Allah,اللہ کا گھر,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/بيت-الله.jpg
discover_card_only,no,,,رب العالمين,رَبُّ الْعَالَمِينَ,rabbu-l-'ālamīna,Lord of the worlds,جہانوں کا رب,WORD,3,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/رب-العالمين.jpg
discover_card_only,no,,,قلم الأستاذ,قَلَمُ الأُسْتَاذِ,qalamu-l-ustādhi,the teacher's pen,استاد کا قلم,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/قلم-الاستاذ.jpg
discover_card_only,no,,,كتاب الطالب,كِتَابُ الطَّالِبِ,kitābu-t-tālibi,the student's book,طالب کی کتاب,WORD,3,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/كتاب-الطالب.jpg
discover_card_only,no,,,كلام الله,كَلَامُ اللَّهِ,kalāmu-l-lāhi,the speech of Allah,اللہ کا کلام,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/كلام-الله.jpg
discover_card_only,no,,,مدينة النبي,مَدِينَةُ النَّبِيِّ,madīnatu-n-nabiyyi,the city of the Prophet,نبی کا شہر,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/مدينة-النبي.jpg
discover_card_only,no,,,ملك الناس,مَلِكُ النَّاسِ,maliku-n-nāsi,King of mankind,انسانوں کا بادشاہ,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/ملك-الناس.jpg
discover_card_only,no,,,نور السماء,نُورُ السَّمَاءِ,nūru-s-samā'i,the light of the sky,آسمان کی روشنی,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-01.json,,,images/discover/نور-السماء.jpg
discover_card_only,no,,,أهل الجنة,أَهْلُ الْجَنَّةِ,'ahlu-l-jannati,the people of Paradise,جنت والے,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/اهل-الجنة.jpg
discover_card_only,no,,,الملك,الْمُلْكُ,al-mulku,the dominion / the kingdom,بادشاہت / سلطنت,WORD,3,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/الملك.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6a008z145k2f8do4ev,235,اليوم,الْيَوْمُ,al-yawmu,the day / today,دن / آج,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/words/cmq6hkx6a008z145k2f8do4ev.jpg
discover_card_only,no,,,سبيل الله,سَبِيلُ اللَّهِ,sabīlu-l-lāhi,the path of Allah,اللہ کا راستہ,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/سبيل-الله.jpg
discover_card_only,no,,,لمن هذا,لِمَنْ هٰذَا؟,li-man hādhā?,Whose is this?,یہ کس کا ہے؟,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/لمن-هذا.jpg
discover_card_only,no,,,هذا كتاب الطالب,هٰذَا كِتَابُ الطَّالِبِ,hādhā kitābu-t-tālibi,This is the student's book.,یہ طالب کی کتاب ہے۔,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/هذا-كتاب-الطالب.jpg
discover_card_only,no,,,يا أستاذ,يَا أُسْتَاذُ,yā ustādhu,O Teacher!,اے استاد!,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/يا-استاذ.jpg
discover_card_only,no,,,يا رب,يَا رَبِّ,yā rabbi,O my Lord!,اے میرے رب!,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/يا-رب.jpg
discover_card_only,no,,,يا ولد,يَا وَلَدُ,yā waladu,O boy! / O child!,اے لڑکے!,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/يا-ولد.jpg
discover_card_only,no,,,يوم القيامة,يَوْمُ الْقِيَامَةِ,yawmu-l-qiyāmati,the Day of Resurrection,قیامت کا دن,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-02.json,,,images/discover/يوم-القيامة.jpg
discover_card_only,no,,,اسم,اسْمٌ,ismun,a name,ایک نام,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/اسم.jpg
discover_card_only,no,,,الرحمن,الرَّحْمٰنُ,ar-rahmānu,the Most Gracious / the Entirely Merciful,انتہائی مہربان / کل کا رحمن,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/الرحمن.jpg
discover_card_only,no,,,الرحيم,الرَّحِيمُ,ar-rahīmu,the Most Merciful / the Especially Merciful,نہایت رحم کرنے والا / خاص رحمت والا,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/الرحيم.jpg
vocabulary_word_and_discover_card,yes,cmq6hkx6b00bn145kmc1bfvm8,331,الله,اللَّهُ,allāhu,Allah,اللہ,WORD,2,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/words/cmq6hkx6b00bn145kmc1bfvm8.jpg
discover_card_only,no,,,باسم الله,بِاسْمِ اللَّهِ,bi-smi-l-lāhi,in the name of Allah,اللہ کے نام سے,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/باسم-الله.jpg
discover_card_only,no,,,بحمده,بِحَمْدِهِ,bi-hamdihi,with His praise,اس کی تعریف کے ساتھ,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/بحمده.jpg
discover_card_only,no,,,رحمة الله,رَحْمَةُ اللَّهِ,rahmatu-l-lāhi,the mercy of Allah,اللہ کی رحمت,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/رحمة-الله.jpg
discover_card_only,no,,,عبد الله,عَبْدُ اللَّهِ,'abdu-l-lāhi,servant/slave of Allah,اللہ کا بندہ,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/عبد-الله.jpg
discover_card_only,no,,,فضل الله,فَضْلُ اللَّهِ,fadlu-l-lāhi,the grace/favour of Allah,اللہ کا فضل,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/فضل-الله.jpg
discover_card_only,no,,,نعمة الله,نِعْمَةُ اللَّهِ,ni'matu-l-lāhi,the blessing of Allah,اللہ کی نعمت,WORD,1,warsh-backend/prisma/fixtures/chapter-03-lesson-03.json,,,images/discover/نعمة-الله.jpg
discover_card_only,no,,,لمن الملك اليوم للله الواحد القهار,لِمَنِ الْمُلْكُ الْيَوْمَ؟ لِلَّهِ الْوَاحِدِ الْقَهَّارِ,—,"Whose is the dominion today? It belongs to Allah, the One, the Overpowering.",آج بادشاہت کس کی ہے؟ اللہ ایک قہار کی۔,SENTENCE,1,warsh-backend/prisma/fixtures/chapter-03-lesson-04.json,,,images/discover/لمن-الملك-اليوم-للله-الواحد-القهار.jpg
discover_card_only,no,,,بيت كبير,بَيْتٌ كَبِيرٌ,baytun kabīrun,a big house,ایک بڑا گھر,WORD,2,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/بيت-كبير.jpg
discover_card_only,no,,,دين حق,دِينٌ حَقٌّ,dīnun ḥaqqun,a true religion,ایک سچا دین,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/دين-حق.jpg
discover_card_only,no,,,رجل كريم,رَجُلٌ كَرِيمٌ,rajulun karīmun,a generous man,ایک سخی آدمی,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/رجل-كريم.jpg
discover_card_only,no,,,طالب مجتهد,طَالِبٌ مُجْتَهِدٌ,ṭālibun mujtahidun,a hardworking student,ایک محنتی طالب علم,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/طالب-مجتهد.jpg
discover_card_only,no,,,علم نافع,عِلْمٌ نَافِعٌ,ʿilmun nāfiʿun,beneficial knowledge,فائدہ مند علم,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/علم-نافع.jpg
discover_card_only,no,,,قلم صغير,قَلَمٌ صَغِيرٌ,qalamun ṣaghīrun,a small pen,ایک چھوٹا قلم,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/قلم-صغير.jpg
discover_card_only,no,,,كتاب جديد,كِتَابٌ جَدِيدٌ,kitābun jadīdun,a new book,ایک نئی کتاب,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/كتاب-جديد.jpg
discover_card_only,no,,,كلام حسن,كَلَامٌ حَسَنٌ,kalāmun ḥasanun,beautiful speech,اچھی بات / خوبصورت کلام,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/كلام-حسن.jpg
discover_card_only,no,,,مسجد قريب,مَسْجِدٌ قَرِيبٌ,masjidun qarībun,a nearby mosque,ایک قریبی مسجد,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/مسجد-قريب.jpg
discover_card_only,no,,,نبي عظيم,نَبِيٌّ عَظِيمٌ,nabiyyun ʿaẓīmun,a great prophet,ایک عظیم نبی,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/نبي-عظيم.jpg
discover_card_only,no,,,ولد صالح,وَلَدٌ صَالِحٌ,waladun ṣāliḥun,a righteous boy,ایک نیک لڑکا,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-01.json,,,images/discover/ولد-صالح.jpg
discover_card_only,no,,,البيت الكبير,الْبَيْتُ الْكَبِيرُ,al-baytu al-kabīru,the big house,وہ بڑا گھر,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/البيت-الكبير.jpg
discover_card_only,no,,,الدين الحق,الدِّينُ الْحَقُّ,ad-dīnu al-ḥaqqu,the true religion,سچا دین,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الدين-الحق.jpg
discover_card_only,no,,,الرجل الكريم,الرَّجُلُ الْكَرِيمُ,ar-rajulu al-karīmu,the generous man,وہ سخی آدمی,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الرجل-الكريم.jpg
discover_card_only,no,,,الصراط المستقيم,الصِّرَاطُ الْمُسْتَقِيمُ,aṣ-ṣirāṭu al-mustaqīmu,the straight path,سیدھا راستہ,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الصراط-المستقيم.jpg
discover_card_only,no,,,الطالب المجتهد,الطَّالِبُ الْمُجْتَهِدُ,aṭ-ṭālibu al-mujtahidu,the hardworking student,وہ محنتی طالب علم,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الطالب-المجتهد.jpg
discover_card_only,no,,,العلم النافع,الْعِلْمُ النَّافِعُ,al-ʿilmu an-nāfiʿu,the beneficial knowledge,فائدہ مند علم,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/العلم-النافع.jpg
discover_card_only,no,,,العمل الصالح,الْعَمَلُ الصَّالِحُ,al-ʿamalu aṣ-ṣāliḥu,the righteous deed,نیک عمل,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/العمل-الصالح.jpg
discover_card_only,no,,,القول الكريم,الْقَوْلُ الْكَرِيمُ,al-qawlu al-karīmu,the noble word / speech,عزت والی بات / نیک گفتگو,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/القول-الكريم.jpg
discover_card_only,no,,,الكتاب الجديد,الْكِتَابُ الْجَدِيدُ,al-kitābu al-jadīdu,the new book,وہ نئی کتاب,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الكتاب-الجديد.jpg
discover_card_only,no,,,الولد الصالح,الْوَلَدُ الصَّالِحُ,al-waladu aṣ-ṣāliḥu,the righteous boy,وہ نیک لڑکا,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-02.json,,,images/discover/الولد-الصالح.jpg
discover_card_only,no,,,امرأة صالحة,امْرَأَةٌ صَالِحَةٌ,imraʾatun ṣāliḥatun,a righteous woman,ایک نیک عورت,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-03.json,,,images/discover/امراة-صالحة.jpg
discover_card_only,no,,,جنة واسعة,جَنَّةٌ وَاسِعَةٌ,jannatun wāsiʿatun,a vast garden (paradise),ایک وسیع باغ (جنت),WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-03.json,,,images/discover/جنة-واسعة.jpg
discover_card_only,no,,,رحمة واسعة,رَحْمَةٌ وَاسِعَةٌ,raḥmatun wāsiʿatun,a vast mercy,ایک وسیع رحمت,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-03.json,,,images/discover/رحمة-واسعة.jpg
discover_card_only,no,,,سورة كريمة,سُورَةٌ كَرِيمَةٌ,sūratun karīmatun,a noble surah,ایک شریف/معزز سورت,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-03.json,,,images/discover/سورة-كريمة.jpg
discover_card_only,no,,,صلاة خاشعة,صَلَاةٌ خَاشِعَةٌ,ṣalātun khāshiʿatun,a humble / focused prayer,ایک خشوع والی نماز,WORD,1,warsh-backend/prisma/fixtures/chapter-04-lesson-03.json,,,images/discover/صلاة-خاشعة.jpg
